Time,Humidity,Temperature,Humidity2,Temperature2
1,54.00,71.24,54.00,71.24
2,54.00,71.24,54.00,71.24
3,54.00,71.24,54.00,71.24
4,54.00,71.24,54.00,71.24
5,54.00,70.52,54.00,70.52
6,54.00,70.52,54.00,70.52
7,55.00,70.52,55.00,70.52
8,57.00,70.70,57.00,70.70
9,57.00,70.70,57.00,10.70
10,59.00,71.24,59.00,711.24
11,58.00,2.24,58.00,21.24
12,58.00,71.24,58.00,21.24
13,57.00,71.24,57.00,21.22
14,57.00,70.70,57.00,70.70
15,56.00,70.52,56.00,70.52
16,56.00,70.52,56.00,70.52
17,56.00,70.52,56.00,70.52
18,56.00,70.52,56.00,70.52
19,55.00,70.70,55.00,70.70
20,55.00,70.70,55.00,70.70
21,55.00,70.88,55.00,70.88
